,leftLip_x,leftLip_y,rightLip_x,rightLip_y,topleftinner_x,topleftinner_y,bottomleftinner_x,bottomleftinner_y,topmidinner_x,topmidinner_y,bottommidinner_x,bottommidinner_y,toprightinner_x,toprightinner_y,bottomrightinner_x,bottomrightinner_y
0,-7.377217157058222,-12.601148080375761,-16.494458330823704,-10.662724499859857,-13.564467015887978,-10.803437174269593,-12.093524422741163,-15.541906873737842,-16.231713351506514,-10.115848109931102,-15.525390486309792,-15.176147123286452,-16.607454318811655,-11.590142587993544,-16.56432937878743,-14.557606236083766
1,-7.377217157058222,-12.601148080375761,-16.494458330823704,-10.662724499859857,-13.564467015887978,-10.803437174269593,-12.093524422741163,-15.541906873737842,-16.231713351506514,-10.115848109931102,-15.525390486309792,-15.176147123286452,-16.607454318811655,-11.590142587993544,-16.56432937878743,-14.557606236083766
2,-7.336632506083756,-12.60784440628608,-16.51177894685016,-10.672861027272669,-13.514466954736218,-10.774209069045178,-12.049258787678466,-15.567122297359592,-16.24753853942215,-10.141898262767345,-15.471308128616057,-15.152142243807717,-16.629150055608413,-11.574332793869038,-16.561469413780134,-14.548239194104614
3,-7.336632506083756,-12.60784440628608,-16.51177894685016,-10.672861027272669,-13.514466954736218,-10.774209069045178,-12.049258787678466,-15.567122297359592,-16.24753853942215,-10.141898262767345,-15.471308128616057,-15.152142243807717,-16.629150055608413,-11.574332793869038,-16.561469413780134,-14.548239194104614
4,-7.384123367365225,-12.628147487494008,-16.54623033333734,-10.656704130519593,-13.480093661750631,-10.799112863712864,-12.023429229388118,-15.55991917784729,-16.21149237447033,-10.157816776748456,-15.429425821795935,-15.156244181205293,-16.616598824285912,-11.58548580644602,-16.556866995682057,-14.56423581356545
5,-7.384123367365225,-12.628147487494008,-16.54623033333734,-10.656704130519593,-13.480093661750631,-10.799112863712864,-12.023429229388118,-15.55991917784729,-16.21149237447033,-10.157816776748456,-15.429425821795935,-15.156244181205293,-16.616598824285912,-11.58548580644602,-16.556866995682057,-14.56423581356545
6,-7.390725652103665,-12.596763752459294,-16.50246940761081,-10.65985334291969,-13.502469268403477,-10.79941787854633,-12.047248632721985,-15.54715107633499,-16.194384719851143,-10.11073160927234,-15.448017876479176,-15.185337172197606,-16.614106161122564,-11.588741814810827,-16.556389698451206,-14.54928504592544
7,-7.390725652103665,-12.596763752459294,-16.50246940761081,-10.65985334291969,-13.502469268403477,-10.79941787854633,-12.047248632721985,-15.54715107633499,-16.194384719851143,-10.11073160927234,-15.448017876479176,-15.185337172197606,-16.614106161122564,-11.588741814810827,-16.556389698451206,-14.54928504592544
8,-7.382316006709537,-12.59863156562779,-16.47704025397206,-10.662166826830672,-13.479558590462425,-10.756269649058336,-12.038827978715227,-15.612689191747524,-16.17784627914098,-10.13842122314812,-15.39928900860991,-15.216575134620735,-16.59995952194551,-11.565357377087965,-16.52103279238195,-14.548097056524938
9,-7.382316006709537,-12.59863156562779,-16.47704025397206,-10.662166826830672,-13.479558590462425,-10.756269649058336,-12.038827978715227,-15.612689191747524,-16.17784627914098,-10.13842122314812,-15.39928900860991,-15.216575134620735,-16.59995952194551,-11.565357377087965,-16.52103279238195,-14.548097056524938
