,vallecula_x,vallecula_y,tongueRoot1_x,tongueRoot1_y,tongueRoot2_x,tongueRoot2_y,tongueBody1_x,tongueBody1_y,tongueBody2_x,tongueBody2_y,tongueDorsum1_x,tongueDorsum1_y,tongueDorsum2_x,tongueDorsum2_y,tongueBlade1_x,tongueBlade1_y,tongueBlade2_x,tongueBlade2_y,tongueTip1_x,tongueTip1_y,tongueTip2_x,tongueTip2_y,hyoid_x,hyoid_y,mandible_x,mandible_y,shortTendon_x,shortTendon_y
0,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
1,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
2,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
3,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
4,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
5,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
6,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
7,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
8,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
9,-8.392117986256617,-8.322889406596186,-3.9498627002304665,-8.31924379518482,-7.993583717206337,-8.320538791235817,-8.08449261520537,-8.159348218249791,-8.068835564412991,-7.742982527148063,-8.155311758974106,-7.630989810825602,-8.21004849304847,-7.9678109352375515,-8.246680890486097,-8.202809364328052,-8.295255053217005,-8.192040391644278,-8.305891606659902,-8.11671726517337,-11.133447055121298,-7.9928286517916955,-8.26636677321116,-8.39345545931327,-8.384862960791756,-8.421225255968597,-8.41022658966916,-8.466359181012448
