,leftLip_x,leftLip_y,rightLip_x,rightLip_y,topleftinner_x,topleftinner_y,bottomleftinner_x,bottomleftinner_y,topmidinner_x,topmidinner_y,bottommidinner_x,bottommidinner_y,toprightinner_x,toprightinner_y,bottomrightinner_x,bottomrightinner_y
0,-9.182536832099663,-9.803496683380523,-10.223109173438594,-9.557988831637566,-8.418271581473928,-6.680863965858725,-8.166807933303419,-7.587856976867366,-9.940320374849687,-4.228281250426971,-10.146417805662702,-7.251071533341875,-9.997074580208052,-7.048479445642009,-9.903826888322467,-7.771513812652689
1,-9.062630718242588,-9.685499056267536,-10.119338541728274,-9.443102705793246,-8.418271581473928,-6.680863965858725,-8.166807933303419,-7.587856976867366,-9.940320374849687,-4.228281250426971,-10.146417805662702,-7.251071533341875,-9.997074580208052,-7.048479445642009,-9.903826888322467,-7.771513812652689
2,-8.94272460438551,-9.567501429154547,-10.015567910017953,-9.328216579948922,-8.41498329545412,-6.6757806143254825,-8.160938731857451,-7.574266685498965,-9.926092009912372,-4.236203970514056,-10.134900994756013,-7.258941517085379,-9.983839585265905,-7.092237846164393,-9.890409583947287,-7.805465458792011
3,-8.822818490528434,-9.449503802041562,-9.911797278307633,-9.213330454104598,-8.41498329545412,-6.6757806143254825,-8.160938731857451,-7.574266685498965,-9.926092009912372,-4.236203970514056,-10.134900994756013,-7.258941517085379,-9.983839585265905,-7.092237846164393,-9.890409583947287,-7.805465458792011
4,-8.702912376671359,-9.331506174928574,-9.808026646597312,-9.098444328260275,-8.39770523914152,-6.680931645598358,-8.143871729894144,-7.575831163535102,-9.910321201457698,-4.239440258132059,-10.117866097957338,-7.260527450343071,-9.943812288198348,-7.095236676454999,-9.795732678662759,-7.890954711666343
5,-8.583006262814283,-9.213508547815586,-9.704256014886994,-8.983558202415951,-8.39770523914152,-6.680931645598358,-8.143871729894144,-7.575831163535102,-9.910321201457698,-4.239440258132059,-10.117866097957338,-7.260527450343071,-9.943812288198348,-7.095236676454999,-9.795732678662759,-7.890954711666343
6,-8.463100148957208,-9.0955109207026,-9.600485383176673,-8.86867207657163,-8.411824384621978,-6.679348207729514,-8.16358624462738,-7.590061719532954,-9.93029503319511,-4.237987344067388,-10.138976073395183,-7.2579083716712525,-9.995803194331618,-7.059001431389465,-9.904730131206732,-7.769150665544167
7,-8.343194035100133,-8.977513293589611,-9.496714751466353,-8.753785950727305,-8.411824384621978,-6.679348207729514,-8.16358624462738,-7.590061719532954,-9.93029503319511,-4.237987344067388,-10.138976073395183,-7.2579083716712525,-9.995803194331618,-7.059001431389465,-9.904730131206732,-7.769150665544167
8,-8.223287921243056,-8.859515666476623,-9.392944119756033,-8.638899824882984,-8.399279303924773,-6.679368310622475,-8.150452142068682,-7.5775520280468225,-9.9260692791658,-4.245676065605939,-10.132303799677878,-7.272036331002287,-9.98074305778311,-7.080424744416508,-9.823531207327875,-7.877003326515265
9,-8.103381807385981,-8.741518039363637,-9.28917348804571,-8.524013699038658,-8.399279303924773,-6.679368310622475,-8.150452142068682,-7.5775520280468225,-9.9260692791658,-4.245676065605939,-10.132303799677878,-7.272036331002287,-9.98074305778311,-7.080424744416508,-9.823531207327875,-7.877003326515265
