,leftLip_x,leftLip_y,rightLip_x,rightLip_y,topleftinner_x,topleftinner_y,bottomleftinner_x,bottomleftinner_y,topmidinner_x,topmidinner_y,bottommidinner_x,bottommidinner_y,toprightinner_x,toprightinner_y,bottomrightinner_x,bottomrightinner_y
0,-4.6201536560537955,-4.668470389275007,-10.262715572721596,-9.592362212072059,-8.636674335028305,-6.61410724823422,-8.266413629358999,-7.48313195925579,-9.862199972661159,-4.001304520857194,-9.983455514239528,-7.276843351410874,-9.65785728619559,-6.530885278581222,-9.586346418435634,-7.569182186206297
1,-4.6201536560537955,-4.668470389275007,-10.163511319510949,-9.491092006342248,-8.636674335028305,-6.61410724823422,-8.266413629358999,-7.48313195925579,-9.862199972661159,-4.001304520857194,-9.983455514239528,-7.276843351410874,-9.65785728619559,-6.530885278581222,-9.586346418435634,-7.569182186206297
2,-4.669606895355469,-4.668900462568445,-10.064307066300303,-9.389821800612436,-8.683526121738934,-6.5619670448593785,-8.313769438130683,-7.442066097328014,-9.938623989884375,-3.993423338973991,-10.044551177057395,-7.263356255135377,-9.714616083529481,-6.480235055294748,-9.709321861839065,-7.571184568048465
3,-4.669606895355469,-4.668900462568445,-9.965102813089656,-9.288551594882625,-8.683526121738934,-6.5619670448593785,-8.313769438130683,-7.442066097328014,-9.938623989884375,-3.993423338973991,-10.044551177057395,-7.263356255135377,-9.714616083529481,-6.480235055294748,-9.709321861839065,-7.571184568048465
4,-4.6144896480792825,-4.507384648711843,-9.865898559879009,-9.187281389152814,-8.650778386736867,-6.562592914926878,-8.279063998994411,-7.440564173882111,-9.944360797352443,-3.9882278327395557,-10.048862760661718,-7.255483953623137,-9.698888799474648,-6.486113494251577,-9.629941712747572,-7.54104922612598
5,-4.6144896480792825,-4.507384648711843,-9.766694306668363,-9.086011183423002,-8.650778386736867,-6.562592914926878,-8.279063998994411,-7.440564173882111,-9.944360797352443,-3.9882278327395557,-10.048862760661718,-7.255483953623137,-9.698888799474648,-6.486113494251577,-9.629941712747572,-7.54104922612598
6,-4.649176195110377,-4.493966694701872,-9.667490053457716,-8.98474097769319,-8.660594369725393,-6.544293921561498,-8.298009748373646,-7.422587701833799,-9.947847260909926,-3.9946030239642387,-10.051384753700242,-7.255020399875913,-9.719957146860104,-6.483737190511019,-9.648199354415809,-7.539271649505757
7,-4.649176195110377,-4.493966694701872,-9.568285800247068,-8.88347077196338,-8.660594369725393,-6.544293921561498,-8.298009748373646,-7.422587701833799,-9.947847260909926,-3.9946030239642387,-10.051384753700242,-7.255020399875913,-9.719957146860104,-6.483737190511019,-9.648199354415809,-7.539271649505757
8,-4.657188220831163,-4.506763662805554,-9.469081547036422,-8.782200566233568,-8.661931965415636,-6.521414819083318,-8.298811402085038,-7.411056805700736,-9.970838869858843,-3.986698303765502,-10.06918910904913,-7.242025829456842,-9.850292450610524,-6.412118186640465,-9.734734784723123,-7.556479345027394
9,-4.657188220831163,-4.506763662805554,-9.369877293825775,-8.680930360503757,-8.661931965415636,-6.521414819083318,-8.298811402085038,-7.411056805700736,-9.970838869858843,-3.986698303765502,-10.06918910904913,-7.242025829456842,-9.850292450610524,-6.412118186640465,-9.734734784723123,-7.55648001809692
10,-4.670862175101151,-4.519106433581929,-9.270673040615128,-8.579660154773945,-8.669701664185933,-6.522986865312818,-8.313470017043604,-7.403510391653436,-9.991714354543594,-4.008888473814842,-10.10395206927245,-7.255731375435718,-9.878850091830092,-6.45105285314446,-9.762368179697663,-7.591203674983459
11,-4.670862175101151,-4.519106433581929,-9.171468787404482,-8.478389949044134,-8.669701664185933,-6.522986865312818,-8.313470017043604,-7.403510391653436,-9.991714354543594,-4.008888473814842,-10.10395206927245,-7.255731375435718,-9.878850091830092,-6.45105285314446,-9.762368179697663,-7.591203674983459
12,-4.677495541841174,-4.52069362863779,-9.072264534193835,-8.377119743314323,-8.647652538452682,-6.508457834473937,-8.320218296875657,-7.399860760609512,-10.04736788148289,-4.0385361360677905,-10.151682476847698,-7.316494000621906,-9.90564705389152,-6.479864519905328,-9.813722453275622,-7.609136939454963
13,-4.677495541841174,-4.52069362863779,-8.973060280983187,-8.275849537584511,-8.647652538452682,-6.508457834473937,-8.320218296875657,-7.399860760609512,-10.04736788148289,-4.0385361360677905,-10.151682476847698,-7.316494000621906,-9.90564705389152,-6.479864519905328,-9.813722453275622,-7.609136939454963
14,-4.641845181178732,-4.540980693325835,-8.873856027772542,-8.1745793318547,-8.592315895684388,-6.510917758475853,-8.295169701678159,-7.400787427137384,-10.069067085126736,-4.094639941908755,-10.200276073051514,-7.380811503607121,-9.948766995161861,-6.489287770000793,-9.865059829452683,-7.651149939316521
15,-4.641845181178732,-4.540980693325835,-8.774651774561894,-8.073309126124888,-8.592315895684388,-6.510917758475853,-8.295169701678159,-7.400787427137384,-10.069067085126736,-4.094639941908755,-10.200276073051514,-7.380811503607121,-9.948766995161861,-6.489287770000793,-9.865059829452683,-7.651149939316521
