,leftLip_x,leftLip_y,rightLip_x,rightLip_y,topleftinner_x,topleftinner_y,bottomleftinner_x,bottomleftinner_y,topmidinner_x,topmidinner_y,bottommidinner_x,bottommidinner_y,toprightinner_x,toprightinner_y,bottomrightinner_x,bottomrightinner_y
0,-8.168128297751199,-8.807454603624821,-5.0579405268266004,-4.305374940690843,-16.93233578423854,-13.400346401432298,-16.312312422823087,-13.737288582267864,-17.96617974231148,-7.730979929720356,-14.35324386450225,-9.59506432744234,-9.739189624750795,-6.526031979699312,-9.53877011216832,-7.482676633085157
1,-7.841460863097843,-8.445090263772613,-5.0579405268266004,-4.305374940690843,-16.76985576840044,-13.269555251688798,-16.160141947954383,-13.618004370333827,-17.165428579002818,-7.3362859045873465,-12.232685634748684,-8.346089795157686,-9.739189624750795,-6.526031979699312,-9.53877011216832,-7.482676633085157
2,-7.514793428444491,-8.082725923920407,-5.030317000802716,-4.214428793387735,-16.607375752562344,-13.138764101945299,-16.007971473085675,-13.49872015839979,-16.364677415694157,-6.941591879454337,-10.112127404995116,-7.097115262873034,-9.73546089928179,-6.47510605640645,-9.535151764185523,-7.42794127302842
3,-7.188125993791135,-7.720361584068199,-5.030317000802716,-4.214428793387735,-16.44489573672425,-13.007972952201797,-15.85580099821697,-13.379435946465751,-15.563926252385498,-6.546897854321326,-10.112127404995116,-7.097115262873034,-9.73546089928179,-6.47510605640645,-9.535151764185523,-7.42794127302842
4,-6.8614585591377795,-7.357997244215992,-5.0480697697578085,-4.247806787900005,-16.28241572088615,-12.877181802458296,-15.703630523348265,-13.260151734531712,-14.763175089076839,-6.152203829188316,-10.114650487918272,-7.155192752978423,-9.75584190610485,-6.498643521079525,-9.55252843681613,-7.45152428310771
5,-6.534791124484426,-6.995632904363785,-5.0480697697578085,-4.247806787900005,-16.11993570504805,-12.746390652714796,-15.55146004847956,-13.140867522597675,-13.962423925768178,-5.7575098040553065,-10.114650487918272,-7.155192752978423,-9.75584190610485,-6.498643521079525,-9.55252843681613,-7.45152428310771
6,-6.208123689831072,-6.633268564511577,-5.05038274442488,-4.305312010305681,-15.95745568920995,-12.615599502971298,-15.399289573610853,-13.021583310663638,-13.161672762459517,-5.362815778922297,-10.109563996340574,-7.179396053005383,-9.720935878719148,-6.524650770085002,-9.523125423129562,-7.496187830765723
7,-5.881456255177716,-6.27090422465937,-5.05038274442488,-4.305312010305681,-15.794975673371855,-12.484808353227793,-15.247119098742147,-12.9022990987296,-12.360921599150856,-4.968121753789287,-10.109563996340574,-7.179396053005383,-9.720935878719148,-6.524650770085002,-9.523125423129562,-7.496187830765723
8,-5.5547888205243625,-5.908539884807163,-4.981915252352973,-4.266668996778073,-15.632495657533758,-12.354017203484295,-15.094948623873442,-12.783014886795563,-11.560170435842197,-4.573427728656276,-10.103448653670238,-7.151239218956782,-9.711157002989054,-6.501698575204357,-9.52440117689722,-7.460895430129057
9,-5.228121385871009,-5.546175544954956,-4.981915252352973,-4.266668996778073,-15.470015641695658,-12.223226053740794,-14.942778149004738,-12.663730674861526,-10.759419272533536,-4.178733703523266,-10.103448653670238,-7.151239218956782,-9.711157002989054,-6.501698575204357,-9.52440117689722,-7.460895430129057
10,-4.901453951217654,-5.1838112051027485,-5.0496351579699885,-4.157025480635643,-15.307535625857561,-12.092434903997294,-14.79060767413603,-12.544446462927487,-9.958668109224876,-3.7840396783902563,-10.117814423005063,-7.002602448235798,-9.765693010843194,-6.413677791838332,-9.585668848355446,-7.428255596497427
11,-4.574786516564299,-4.821446865250542,-5.0496351579699885,-4.157025480635643,-15.145055610019462,-11.961643754253796,-14.638437199267324,-12.425162250993452,-9.958668109224876,-3.7840396783902563,-10.117814423005063,-7.002602448235798,-9.765693010843194,-6.413677791838332,-9.585668848355446,-7.428255596497427
12,-4.248119081910946,-4.459082525398334,-4.980932238119467,-4.2374904314010395,-14.982575594181364,-11.83085260451029,-14.48626672439862,-12.305878039059412,-9.906835512542617,-3.852026179755053,-10.146824972140514,-7.106977368845235,-9.686401092902742,-6.489029922822401,-9.524811322900787,-7.515441657648768
13,-4.248119081910946,-4.459082525398334,-4.980932238119467,-4.2374904314010395,-14.820095578343269,-11.700061454766793,-14.334096249529914,-12.186593827125375,-9.906835512542617,-3.852026179755053,-10.146824972140514,-7.106977368845235,-9.686401092902742,-6.489029922822401,-9.524811322900787,-7.515441657648768
14,-4.247501146022886,-4.456183565204327,-4.974261784392109,-4.168074459529038,-14.657615562505171,-11.56927030502329,-14.18192577466121,-12.067309615191338,-9.891728225404533,-3.780932159204287,-10.128830976865652,-7.012250740042092,-9.670192282126228,-6.425701563615667,-9.520092339668713,-7.4730726040075455
15,-4.246883210134826,-4.453284605010318,-4.974261784392109,-4.168074459529038,-14.495135546667072,-11.438479155279792,-14.029755299792502,-11.9480254032573,-9.891728225404533,-3.780932159204287,-10.128830976865652,-7.012250740042092,-9.670192282126228,-6.425701563615667,-9.520092339668713,-7.4730726040075455
16,-4.246265274246767,-4.450385644816311,-4.986967312198698,-4.1594614500971145,-14.332655530828974,-11.30768800553629,-13.877584824923796,-11.828741191323264,-9.90166156165632,-3.761427203268116,-10.10900379563971,-6.994046984388587,-9.718242435701757,-6.380078970421102,-9.559042384861577,-7.432812950263248
17,-4.245647338358707,-4.447486684622302,-4.986967312198698,-4.1594614500971145,-14.170175514990875,-11.176896855792789,-13.725414350055091,-11.709456979389225,-9.90166156165632,-3.761427203268116,-10.10900379563971,-6.994046984388587,-9.718242435701757,-6.380078970421102,-9.559042384861577,-7.432812950263248
18,-4.245029402470648,-4.444587724428295,-5.000644840073712,-4.238445658292235,-14.007695499152778,-11.046105706049289,-13.573243875186387,-11.590172767455188,-9.917530870012804,-3.8409354793185706,-10.163459881279232,-7.103213891859956,-9.707893494465676,-6.499177308806879,-9.550065256603686,-7.518210665681938
19,-4.245029402470648,-4.444587724428295,-5.000644840073712,-4.238445658292235,-13.845215483314682,-10.91531455630579,-13.42107340031768,-11.470888555521151,-9.917530870012804,-3.8409354793185706,-10.163459881279232,-7.103213891859956,-9.707893494465676,-6.499177308806879,-9.550065256603686,-7.518210665681938
20,-4.256979775712056,-4.438687898272971,-4.9781979716380365,-4.16520173440935,-13.682735467476581,-10.784523406562288,-13.268902925448973,-11.351604343587114,-9.896948720200475,-3.790960404692589,-10.12126499775008,-7.0301300080725415,-9.691874187753825,-6.411875919560714,-9.536151783093102,-7.46426750845822
21,-4.268930148953463,-4.432788072117646,-4.9781979716380365,-4.16520173440935,-13.520255451638485,-10.653732256818788,-13.116732450580269,-11.232320131653077,-9.896948720200475,-3.790960404692589,-10.12126499775008,-7.0301300080725415,-9.691874187753825,-6.411875919560714,-9.536151783093102,-7.46426750845822
22,-4.280880522194871,-4.4268882459623216,-4.97686801120447,-4.198798576380469,-13.357775435800388,-10.522941107075289,-12.964561975711563,-11.113035919719039,-9.8968610444637,-3.7980486684172456,-10.13195022668253,-7.022002751999328,-9.697206707868416,-6.42002092417202,-9.540515920906358,-7.466748442733928
23,-4.292830895436279,-4.420988419806998,-4.97686801120447,-4.198798576380469,-13.195295419962289,-10.392149957331787,-12.812391500842859,-10.993751707785,-9.8968610444637,-3.7980486684172456,-10.13195022668253,-7.022002751999328,-9.697206707868416,-6.42002092417202,-9.540515920906358,-7.466748442733928
24,-4.3047812686776865,-4.415088593651672,-4.984150439479158,-4.212050118754545,-13.032815404124191,-10.261358807588286,-12.66022102597415,-10.874467495850965,-9.919893785239747,-3.8715334433692177,-10.17836405362228,-7.117377197164217,-9.696944974795503,-6.48133335409372,-9.535397544562194,-7.494146410891002
25,-4.316731641919095,-4.409188767496348,-4.984150439479158,-4.212050118754545,-12.870335388286096,-10.130567657844786,-12.508050551105447,-10.755183283916926,-9.919893785239747,-3.8715334433692177,-10.17836405362228,-7.117377197164217,-9.696944974795503,-6.48133335409372,-9.535397544562194,-7.494146410891002
26,-4.328682015160503,-4.403288941341024,-4.974363665419111,-4.167917603195872,-12.707855372447995,-9.999776508101286,-12.35588007623674,-10.635899071982887,-9.86662049219145,-3.7547210910191735,-10.085305344200787,-6.988088000968015,-9.665015093212178,-6.409009858806353,-9.510141306668263,-7.443933404984694
27,-4.340632388401911,-4.397389115185699,-4.974363665419111,-4.167917603195872,-12.545375356609899,-9.868985358357786,-12.203709601368036,-10.51661486004885,-9.86662049219145,-3.7547210910191735,-10.085305344200787,-6.988088000968015,-9.665015093212178,-6.409009858806353,-9.510141306668263,-7.443933404984694
28,-4.352582761643319,-4.391489289030375,-4.974833832591019,-4.191958419217113,-12.3828953407718,-9.738194208614285,-12.051539126499328,-10.397330648114814,-9.881745097993589,-3.8410480940046505,-10.119928799191207,-7.074488625028822,-9.679762237391596,-6.4244571879111625,-9.51806465156118,-7.46470634978968
29,-4.364533134884726,-4.385589462875051,-4.974833832591019,-4.191958419217113,-12.220415324933702,-9.607403058870783,-11.899368651630622,-10.278046436180777,-9.881745097993589,-3.8410480940046505,-10.119928799191207,-7.074488625028822,-9.679762237391596,-6.4244571879111625,-9.51806465156118,-7.46470634978968
30,-4.376483508126134,-4.379689636719726,-4.9712377076919765,-4.195426165217403,-12.057935309095605,-9.476611909127284,-11.747198176761918,-10.15876222424674,-9.857836682266283,-3.8484691248959613,-10.110346533506375,-7.088757388810576,-9.64761722209552,-6.464397109475301,-9.492095650574905,-7.478362257418503
31,-4.3884338813675425,-4.373789810564402,-4.9712377076919765,-4.195426165217403,-11.895455293257506,-9.345820759383782,-11.595027701893214,-10.039478012312701,-9.857836682266283,-3.8484691248959613,-10.110346533506375,-7.088757388810576,-9.64761722209552,-6.464397109475301,-9.492095650574905,-7.478362257418503
32,-4.40038425460895,-4.367889984409078,-4.976932031039005,-4.17667009266058,-11.732975277419408,-9.215029609640283,-11.442857227024508,-9.920193800378664,-9.839311123810432,-3.7797275512917103,-10.073974903566173,-7.0375961206137765,-9.660855323661675,-6.41022375170917,-9.500025139977241,-7.437189921395893
33,-4.412334627850358,-4.361990158253753,-4.976932031039005,-4.17667009266058,-11.570495261581312,-9.084238459896781,-11.2906867521558,-9.800909588444625,-9.839311123810432,-3.7797275512917103,-10.073974903566173,-7.0375961206137765,-9.660855323661675,-6.41022375170917,-9.500025139977241,-7.437189921395893
34,-4.424285001091766,-4.356090332098427,-4.980336096434442,-4.1979241258045565,-11.408015245743213,-8.953447310153281,-11.138516277287096,-9.681625376510588,-9.834729254751501,-3.820415145065285,-10.079875538964,-7.059982289951615,-9.666037949167745,-6.422893758882312,-9.506025253422711,-7.457658638774775
35,-4.436235374333174,-4.350190505943103,-4.980336096434442,-4.1979241258045565,-11.245535229905116,-8.822656160409782,-10.98634580241839,-9.562341164576551,-9.834729254751501,-3.820415145065285,-10.079875538964,-7.059982289951615,-9.666037949167745,-6.422893758882312,-9.506025253422711,-7.457658638774775
36,-4.448185747574581,-4.344290679787779,-5.014751232001578,-4.190844457473791,-11.083055214067018,-8.69186501066628,-10.834175327549683,-9.443056952642513,-9.86148659071578,-3.8322009181133923,-10.100660728781499,-7.064038964682013,-9.674421950716974,-6.439742619469222,-9.515640642596264,-7.461181484677938
37,-4.4601361208159895,-4.338390853632455,-5.014751232001578,-4.190844457473791,-10.92057519822892,-8.561073860922779,-10.682004852680977,-9.323772740708476,-9.86148659071578,-3.8322009181133923,-10.100660728781499,-7.064038964682013,-9.674421950716974,-6.439742619469222,-9.515640642596264,-7.461181484677938
38,-4.472086494057398,-4.332491027477129,-4.966201480708555,-4.172538290207905,-10.758095182390822,-8.43028271117928,-10.529834377812273,-9.204488528774439,-9.832936773021855,-3.778590789112141,-10.054209845764257,-7.019830423251397,-9.6267601251428,-6.392602660146137,-9.472045348284329,-7.427104647606634
39,-4.484036867298805,-4.326591201321804,-4.966201480708555,-4.172538290207905,-10.595615166552724,-8.29949156143578,-10.377663902943567,-9.085204316840402,-9.832936773021855,-3.778590789112141,-10.054209845764257,-7.019830423251397,-9.6267601251428,-6.392602660146137,-9.472045348284329,-7.427104647606634
40,-4.495987240540212,-4.32069137516648,-4.975633736330048,-4.157085123612625,-10.433135150714627,-8.168700411692278,-10.225493428074861,-8.965920104906365,-9.84439306929394,-3.7834835279938366,-10.043972559415574,-7.030167092372319,-9.648884724691937,-6.376507063458742,-9.486724581280978,-7.41800878602174
41,-4.507937613781621,-4.314791549011156,-4.975633736330048,-4.157085123612625,-10.27065513487653,-8.037909261948778,-10.073322953206157,-8.846635892972326,-9.84439306929394,-3.7834835279938366,-10.043972559415574,-7.030167092372319,-9.648884724691937,-6.376507063458742,-9.486724581280978,-7.41800878602174
42,-4.519887987023029,-4.308891722855832,-4.974775319839024,-4.2207410867233115,-10.10817511903843,-7.907118112205277,-9.92115247833745,-8.72735168103829,-9.83016362194012,-3.8565164595946926,-10.078193846976772,-7.099526901242969,-9.642068014956171,-6.4574246766356325,-9.484613174232644,-7.490779044048526
43,-4.531838360264437,-4.302991896700507,-4.974775319839024,-4.2207410867233115,-9.945695103200334,-7.776326962461776,-9.768982003468745,-8.60806746910425,-9.83016362194012,-3.8565164595946926,-10.078193846976772,-7.099526901242969,-9.642068014956171,-6.4574246766356325,-9.484613174232644,-7.490779044048526
44,-4.543788733505845,-4.297092070545182,-4.972795523665662,-4.208117439311638,-9.783215087362235,-7.645535812718276,-9.61681152860004,-8.488783257170214,-9.870404620287369,-3.844910223894475,-10.106694330104432,-7.082034700591453,-9.64674814402849,-6.424476154987769,-9.485585542847843,-7.457550947650491
45,-4.555739106747253,-4.291192244389858,-4.972795523665662,-4.208117439311638,-9.620735071524138,-7.514744662974776,-9.464641053731334,-8.369499045236175,-9.870404620287369,-3.844910223894475,-10.106694330104432,-7.082034700591453,-9.64674814402849,-6.424476154987769,-9.485585542847843,-7.457550947650491
46,-4.567689479988661,-4.285292418234534,-4.979459781925162,-4.1620805751571925,-9.45825505568604,-7.383953513231274,-9.312470578862627,-8.250214833302138,-9.877664387775736,-3.802148027604796,-10.074732373385437,-7.041441298947003,-9.67165006544331,-6.389126265962403,-9.501380004303638,-7.429875674848383
47,-4.579639853230069,-4.279392592079209,-4.979459781925162,-4.1620805751571925,-9.295775039847943,-7.253162363487775,-9.160300103993922,-8.130930621368101,-9.877664387775736,-3.802148027604796,-10.074732373385437,-7.041441298947003,-9.67165006544331,-6.389126265962403,-9.501380004303638,-7.429875674848383
48,-4.591590226471476,-4.2734927659238835,-5.026914312177914,-4.1855094636271915,-9.133295024009843,-7.122371213744274,-9.008129629125216,-8.011646409434064,-9.937878135443894,-3.931011074436595,-10.131138262631666,-7.171399171423576,-9.71098691532446,-6.458506477397797,-9.545755651311502,-7.479494360362546
49,-4.603540599712884,-4.2675929397685595,-5.026914312177914,-4.1855094636271915,-8.970815008171746,-6.9915800640007735,-8.85595915425651,-7.8923621975000255,-9.937878135443894,-3.931011074436595,-10.131138262631666,-7.171399171423576,-9.71098691532446,-6.458506477397797,-9.545755651311502,-7.479494360362546
50,-4.615490972954293,-4.261693113613235,-4.9765837080683095,-4.157806944523033,-8.808334992333648,-6.860788914257274,-8.703788679387806,-7.773077985565989,-9.881045856932387,-3.9486528111608608,-10.024495231156514,-7.123339657237892,-9.708363371347314,-6.417105413539364,-9.544987587634408,-7.447726824837622
51,-4.627441346195701,-4.255793287457911,-4.9765837080683095,-4.157806944523033,-8.645854976495551,-6.729997764513772,-8.5516182045191,-7.653793773631951,-9.881045856932387,-3.9486528111608608,-10.024495231156514,-7.123339657237892,-9.708363371347314,-6.417105413539364,-9.544987587634408,-7.447726824837622
52,-4.639391719437108,-4.2498934613025865,-4.967254021859136,-4.082659611303856,-8.483374960657452,-6.599206614770272,-8.399447729650394,-7.534509561697914,-9.822126679402306,-4.081306449864687,-10.052074761770106,-7.054041848680933,-9.79686254619987,-6.068769632496233,-9.570162410778567,-7.363644960343785
53,-4.639391719437108,-4.2498934613025865,-4.967254021859136,-4.082659611303856,-8.320894944819356,-6.468415465026772,-8.24727725478169,-7.415225349763877,-9.822126679402306,-4.081306449864687,-10.052074761770106,-7.054041848680933,-9.79686254619987,-6.068769632496233,-9.570162410778567,-7.363644960343785
54,-4.307781952915561,-4.357368527773773,-4.957655865376108,-4.130892464122625,-8.158414928981257,-6.337624315283271,-8.095106779912983,-7.295941137829838,-9.855589585605205,-4.405146594969203,-10.080194875161185,-6.218440443376233,-9.776129714207583,-6.080091622439127,-9.54973652534989,-7.275382661019123
55,-4.307781952915561,-4.357368527773773,-4.957655865376108,-4.130892464122625,-8.158414928981257,-6.337624315283271,-8.095106779912983,-7.295941137829838,-9.855589585605205,-4.405146594969203,-10.080194875161185,-6.218440443376233,-9.776129714207583,-6.080091622439127,-9.54973652534989,-7.275382661019123
56,-4.2641743247321715,-4.309394558974514,-4.9488397146138485,-4.1681190743543395,-8.224285587029616,-6.487809678107925,-7.860755993108566,-6.869765913772662,-10.088125123032633,-4.742657424506869,-10.086449723064423,-6.071113791433344,-10.310783589751686,-6.978802516724616,-9.947947587440481,-6.912281170338026
57,-4.2641743247321715,-4.309394558974514,-4.9488397146138485,-4.1681190743543395,-8.224285587029616,-6.487809678107925,-7.860755993108566,-6.869765913772662,-10.088125123032633,-4.742657424506869,-10.086449723064423,-6.071113791433344,-10.310783589751686,-6.978802516724616,-9.947947587440481,-6.912281170338026
58,-4.336022628055449,-4.3433345790369335,-4.953738264533754,-4.232464453923371,-8.259796201039364,-6.563227021241561,-7.9411467865307275,-6.509901008484304,-9.965564184768096,-4.80675779613071,-9.960673766873933,-5.74987741847079,-9.924370822100437,-6.636286918617308,-9.744285518630816,-6.808884229634206
59,-4.336022628055449,-4.3433345790369335,-4.953738264533754,-4.232464453923371,-8.259796201039364,-6.563227021241561,-7.9411467865307275,-6.509901008484304,-9.965564184768096,-4.80675779613071,-9.960673766873933,-5.74987741847079,-9.924370822100437,-6.636286918617308,-9.744285518630816,-6.808884229634206
60,-4.432376265519454,-4.411769056009115,-5.016999498448797,-4.250546607803268,-8.285222737921702,-6.585351595137296,-7.91269219082098,-6.565105434365471,-9.938482123852795,-4.792552191938679,-9.922758860294774,-5.835853311410702,-10.048003584547487,-6.926945174491256,-9.714778816347838,-6.793744876768363
61,-4.432376265519454,-4.411769056009115,-5.016999498448797,-4.250546607803268,-8.285222737921702,-6.585351595137296,-7.91269219082098,-6.565105434365471,-9.938482123852795,-4.792552191938679,-9.922758860294774,-5.835853311410702,-10.048003584547487,-6.926945174491256,-9.714778816347838,-6.793744876768363
62,-4.521703871430664,-4.4517887485378616,-5.023394598049124,-4.3647511679807485,-8.344163198417498,-6.5126461322640115,-7.960256292522802,-6.575532425964998,-9.91594837708482,-4.792921881953228,-9.932256114978308,-5.804070328174437,-10.03386999861021,-6.974484797214264,-9.697132553366572,-6.755295106981574
63,-4.521703871430664,-4.4517887485378616,-5.023394598049124,-4.3647511679807485,-8.344163198417498,-6.5126461322640115,-7.960256292522802,-6.575532425964998,-9.91594837708482,-4.792921881953228,-9.932256114978308,-5.804070328174437,-10.03386999861021,-6.974484797214264,-9.697132553366572,-6.755295106981574
64,-4.622045153498153,-4.465771953617255,-5.009436897349854,-4.539436054966916,-8.407640415494063,-6.418461398359019,-8.028622965448195,-6.611956982609558,-9.86537896046204,-4.801666596941578,-9.924244373048236,-5.823578408184197,-9.886238565679484,-6.602580391300776,-9.6465870508406,-6.753441473504824
65,-4.622045153498153,-4.465771953617255,-5.009436897349854,-4.539436054966916,-8.407640415494063,-6.418461398359019,-8.028622965448195,-6.611956982609558,-9.86537896046204,-4.801666596941578,-9.924244373048236,-5.823578408184197,-9.886238565679484,-6.602580391300776,-9.6465870508406,-6.753441473504824
66,-4.665729027276255,-4.497436411795343,-4.999080828632168,-4.4782245146530215,-8.431282293537674,-6.4144146860061,-8.158434682416514,-6.65621312863925,-9.930733104104888,-4.842694342451385,-9.936860877548648,-5.895027685570461,-9.826081121677744,-6.627910244713165,-9.593919388374806,-6.783110378245251
67,-4.665729027276255,-4.497436411795343,-4.999080828632168,-4.4782245146530215,-8.431282293537674,-6.4144146860061,-8.158434682416514,-6.65621312863925,-9.996087247747736,-4.883722087961194,-9.936860877548648,-5.895027685570461,-9.826081121677744,-6.627910244713165,-9.593919388374806,-6.783110378245251
