,leftLip_x,leftLip_y,rightLip_x,rightLip_y,topleftinner_x,topleftinner_y,bottomleftinner_x,bottomleftinner_y,topmidinner_x,topmidinner_y,bottommidinner_x,bottommidinner_y,toprightinner_x,toprightinner_y,bottomrightinner_x,bottomrightinner_y
0,-8.69283389696351,-9.821704006060632,-10.503894086161548,-9.589512889992323,-8.075605418680901,-6.909533578591953,-7.923457348395809,-7.649297062172289,-9.679161418058381,-3.932299966195565,-9.826917580696955,-7.151453879141347,-9.684445365842771,-6.62566397552441,-9.50269917093991,-7.549674030480539
1,-8.563090834872284,-9.693842273143176,-10.386123888400896,-9.461320268118708,-8.075605418680901,-6.909533578591953,-7.923457348395809,-7.649297062172289,-9.679161418058381,-3.932299966195565,-9.826917580696955,-7.151453879141347,-9.684445365842771,-6.62566397552441,-9.50269917093991,-7.549674030480539
2,-8.433347772781058,-9.565980540225723,-10.268353690640247,-9.333127646245096,-8.06675184333839,-6.915053832998866,-7.918638518863997,-7.660658079663247,-9.680073895170755,-3.925174779623013,-9.82888264268851,-7.14386956039457,-9.672466223657006,-6.592514944780992,-9.49666910301103,-7.523834891347486
3,-8.30360471068983,-9.43811880730827,-10.150583492879594,-9.20493502437148,-8.06675184333839,-6.915053832998866,-7.918638518863997,-7.660658079663247,-9.680073895170755,-3.925174779623013,-9.82888264268851,-7.14386956039457,-9.672466223657006,-6.592514944780992,-9.49666910301103,-7.523834891347486
4,-8.173861648598605,-9.310257074390815,-10.032813295118945,-9.076742402497866,-8.04170696325966,-6.916419489527306,-7.89219079812918,-7.6837775202772365,-9.615981849170883,-3.9142723857107953,-9.788052294718664,-7.13590223036415,-9.637933767808608,-6.588981649367438,-9.468508048290326,-7.5195016697340815
5,-8.044118586507377,-9.18239534147336,-9.915043097358293,-8.948549780624253,-8.04170696325966,-6.916419489527306,-7.89219079812918,-7.6837775202772365,-9.615981849170883,-3.9142723857107953,-9.788052294718664,-7.13590223036415,-9.637933767808608,-6.588981649367438,-9.468508048290326,-7.5195016697340815
6,-7.914375524416149,-9.054533608555907,-9.797272899597644,-8.820357158750637,-8.064614277737753,-6.909165695650778,-7.913455861878553,-7.659505112706,-9.645787270008762,-3.925345086258929,-9.812146374279015,-7.148801772265039,-9.64912848743164,-6.601464017961295,-9.479003638437838,-7.532426623856822
7,-7.784632462324923,-8.926671875638453,-9.679502701836991,-8.692164536877025,-8.064614277737753,-6.909165695650778,-7.913455861878553,-7.659505112706,-9.645787270008762,-3.925345086258929,-9.812146374279015,-7.148801772265039,-9.64912848743164,-6.601464017961295,-9.479003638437838,-7.532426623856822
8,-7.654889400233696,-8.798810142720999,-9.56173250407634,-8.563971915003409,-8.097526606728572,-6.897733180424224,-7.941920735199985,-7.665927383969985,-9.67662098652488,-3.9198205051426287,-9.834691727777246,-7.136505429677725,-9.661520810610845,-6.58523700652884,-9.491008473710838,-7.517476403528003
9,-7.52514633814247,-8.670948409803545,-9.44396230631569,-8.435779293129796,-8.097526606728572,-6.897733180424224,-7.941920735199985,-7.665927383969985,-9.67662098652488,-3.9198205051426287,-9.834691727777246,-7.136505429677725,-9.661520810610845,-6.58523700652884,-9.491008473710838,-7.517476403528003
