,leftLip_x,leftLip_y,rightLip_x,rightLip_y,topleftinner_x,topleftinner_y,bottomleftinner_x,bottomleftinner_y,topmidinner_x,topmidinner_y,bottommidinner_x,bottommidinner_y,toprightinner_x,toprightinner_y,bottomrightinner_x,bottomrightinner_y
0,-3.8336217502350127,-4.501381655082016,-5.357485316340519,-4.261993001958226,-8.175642793226388,-6.103893119981831,-7.725364672312508,-7.195606869049045,-9.618692808053753,-4.351422403215458,-9.764444871485667,-6.7624391315732195,-9.647924860416454,-6.506512304188918,-9.61034175100738,-7.295136763184412
1,-3.8336217502350127,-4.501381655082016,-5.357485316340519,-4.261993001958226,-8.175642793226388,-6.103893119981831,-7.725364672312508,-7.195606869049045,-9.618692808053753,-4.351422403215458,-9.764444871485667,-6.7624391315732195,-9.647924860416454,-6.506512304188918,-9.61034175100738,-7.295136763184412
2,-3.8296448493289645,-4.497189064368423,-5.362041050372269,-4.291166871037859,-8.176769794861153,-6.111934947262405,-7.733877275483735,-7.212401549966178,-9.649935678008159,-4.33564619338109,-9.796996455790591,-6.759420237794419,-9.710215001801634,-6.356511178846406,-9.61779350480256,-7.3210660936340535
3,-3.8296448493289645,-4.497189064368423,-5.362041050372269,-4.291166871037859,-8.176769794861153,-6.111934947262405,-7.733877275483735,-7.212401549966178,-9.649935678008159,-4.33564619338109,-9.796996455790591,-6.759420237794419,-9.710215001801634,-6.356511178846406,-9.61779350480256,-7.3210660936340535
4,-3.8976912700431487,-4.5275009129234345,-5.362483682131473,-4.249822077615931,-8.177401577027581,-6.080012893434226,-7.7554767041999115,-7.190289115598892,-9.64337948124701,-4.333060209421639,-9.8011238488921,-6.746870678972683,-9.670907664848587,-6.480647308257988,-9.663823560970892,-7.302303607505555
5,-3.8976912700431487,-4.5275009129234345,-5.362483682131473,-4.249822077615931,-8.177401577027581,-6.080012893434226,-7.7554767041999115,-7.190289115598892,-9.64337948124701,-4.333060209421639,-9.8011238488921,-6.746870678972683,-9.670907664848587,-6.480647308257988,-9.663823560970892,-7.302303607505555
6,-3.8959871810013147,-4.534065145725212,-5.3577049112568265,-4.251773858815443,-8.178324453366255,-6.093437605353149,-7.741934237870282,-7.194263171919614,-9.645003106002124,-4.345012596820873,-9.79853973242955,-6.746964548606497,-9.689433240481177,-6.351022919751197,-9.616580732256425,-7.300392090049504
7,-3.8959871810013147,-4.534065145725212,-5.3577049112568265,-4.251773858815443,-8.178324453366255,-6.093437605353149,-7.741934237870282,-7.194263171919614,-9.645003106002124,-4.345012596820873,-9.79853973242955,-6.746964548606497,-9.689433240481177,-6.351022919751197,-9.616580732256425,-7.300392090049504
8,-3.951678696234044,-4.517791821154843,-5.3581619991077005,-4.288627583033584,-8.205851180795014,-6.094885683742728,-7.772240174031467,-7.191337824905749,-9.660546606991081,-4.338330484423063,-9.82014015595181,-6.757630920330133,-9.685583356675753,-6.492660241705835,-9.66829522769894,-7.319809472827555
9,-3.951678696234044,-4.517791821154843,-5.3581619991077005,-4.288627583033584,-8.205851180795014,-6.094885683742728,-7.772240174031467,-7.191337824905749,-9.660546606991081,-4.338330484423063,-9.82014015595181,-6.757630920330133,-9.685583356675753,-6.492660241705835,-9.66829522769894,-7.319809472827555
10,-3.9488714720650693,-4.514597882257057,-5.3636188295201634,-4.24049710949814,-8.196913511580522,-6.054340829027421,-7.769465904050762,-7.1920007809061675,-9.65275862024905,-4.297628583045928,-9.80177233024816,-6.740584890160319,-9.69680525925888,-6.333499373153569,-9.66116298839343,-7.316469028766152
11,-3.9488714720650693,-4.514597882257057,-5.3636188295201634,-4.24049710949814,-8.196913511580522,-6.054340829027421,-7.769465904050762,-7.1920007809061675,-9.65275862024905,-4.297628583045928,-9.80177233024816,-6.740584890160319,-9.69680525925888,-6.333499373153569,-9.66116298839343,-7.316469028766152
12,-3.9355825580483805,-4.520121870081186,-5.360439177738258,-4.251907233661608,-8.213270129056532,-6.100257846838167,-7.779846977026232,-7.1851731313662555,-9.655870567696352,-4.336704032973284,-9.804672513254,-6.747064792104335,-9.669841316156868,-6.495395565110729,-9.62447258653858,-7.308581326981827
13,-3.9355825580483805,-4.520121870081186,-5.360439177738258,-4.251907233661608,-8.213270129056532,-6.100257846838167,-7.779846977026232,-7.1851731313662555,-9.655870567696352,-4.336704032973284,-9.804672513254,-6.747064792104335,-9.669841316156868,-6.495395565110729,-9.62447258653858,-7.308581326981827
14,-3.9123685470253826,-4.517095551625622,-5.349641165646685,-4.260253023771461,-8.186396746325482,-6.108451115912377,-7.760132462292996,-7.195301455461434,-9.64101115393755,-4.3422267679471895,-9.801348365126298,-6.747144175683546,-9.69553775666246,-6.339350038891082,-9.607992244219139,-7.307910276663626
15,-3.9123685470253826,-4.517095551625622,-5.349641165646685,-4.260253023771461,-8.186396746325482,-6.108451115912377,-7.760132462292996,-7.195301455461434,-9.64101115393755,-4.3422267679471895,-9.801348365126298,-6.747144175683546,-9.69553775666246,-6.339350038891082,-9.607992244219139,-7.307910276663626
16,-3.9251681029523677,-4.519378600279085,-5.364444203515943,-4.248009306819462,-8.221795235172582,-6.0560924611006985,-7.806017887419681,-7.18067349383151,-9.674615856702395,-4.306948371390243,-9.824222863783405,-6.741535754784316,-9.684440119039769,-6.479547217814812,-9.661484039010459,-7.320445523530362
17,-3.9251681029523677,-4.519378600279085,-5.364444203515943,-4.248009306819462,-8.221795235172582,-6.0560924611006985,-7.806017887419681,-7.18067349383151,-9.674615856702395,-4.306948371390243,-9.824222863783405,-6.741535754784316,-9.684440119039769,-6.479547217814812,-9.661484039010459,-7.320445523530362
18,-3.9162646969152117,-4.516525309376778,-5.366068104480116,-4.267834256664566,-8.200643110740474,-6.098232145324195,-7.768240812737966,-7.194591276878194,-9.638520513563204,-4.325669639879842,-9.778430271083911,-6.756416409512405,-9.67231341221349,-6.4985745826290975,-9.617278902138903,-7.314073574320345
19,-3.9162646969152117,-4.516525309376778,-5.366068104480116,-4.267834256664566,-8.200643110740474,-6.098232145324195,-7.768240812737966,-7.194591276878194,-9.638520513563204,-4.325669639879842,-9.778430271083911,-6.756416409512405,-9.67231341221349,-6.4985745826290975,-9.617278902138903,-7.314073574320345
20,-3.9267463867629253,-4.508647980455673,-5.360298058748155,-4.277850989389401,-8.193410318998982,-6.119620283241149,-7.780874738194684,-7.193067275341621,-9.650349161112462,-4.366816000038512,-9.79821276703994,-6.751480141546648,-9.681729589590317,-6.513008527926645,-9.616894870300357,-7.3280256325409505
